150.000000	450.000000
179.956754	451.610249
198.816034	428.279445
186.148916	401.084919
203.309531	376.477778
230.373228	363.533424
257.436925	350.589069
285.050129	338.862566
315.047194	339.276038
341.711202	325.527195
371.146219	319.732591
369.445519	289.780867
381.690211	262.393576
399.194901	238.030459
425.139257	222.968119
439.380533	196.564644
463.794154	179.130337
489.281735	163.307944
518.218954	155.393976
548.032992	152.059130
560.859825	124.939712
590.073824	118.117726
606.013932	143.532084
635.422844	149.457705
656.951276	170.350668
680.292964	151.505702
706.868466	137.588063
733.443968	123.670424
750.000000	115.000000
